"","rep_logit"
"1",0.945791429775485
"2",0.991209225608157
"3",0.908579116342468
"4",0.986378854706947
"5",0.921999375095233
"6",0.908705901108878
"7",0.000135245606612356
"8",0.997699951406663
"9",0.997712105026527
"10",0.908023233286385
"11",0.999321866424276
"12",0.97340867030588
"13",0.956083433168727
"14",0.893947689354898
"15",0.955956028238431
"16",0.980392428162966
"17",0.980398909234094
"18",0.973348521507105
"19",0.965268541452216
"20",0.965355594985082
"21",0.893768575772455
"22",0.999323429855696
"23",0.994988820585333
"24",0.995024756127603
"25",0.861665595119801
"26",0.945762736368465
"27",0.980464816121011
"28",0.877883115729254
"29",0.991185562305543
"30",0.973327645800181
"31",0.980386320258629
"32",0.991192258256623
"33",0.956200564778831
"34",0.965299811145814
"35",0.934538614053537
"36",0.986372673350227
"37",0.991247412700628
"38",0.934518295244072
"39",0.9086617297405
"40",0.991116351344643
"41",0.9560640495508
"42",0.946148019298536
"43",0.000134746295053536
"44",0.99932274109731
"45",0.994972322267595
"46",0.738177985746797
"47",0.877963044075212
"48",0.956446786959195
"49",0.991171282301729
"50",0.991191010204926
"51",0.94613600915614
"52",0.934712280175958
"53",0.965221739384483
"54",0.956204522973748
"55",0.894367469545298
"56",0.922354029491105
"57",0.98628304986513
"58",0.986240474350461
"59",0.98631534022653
"60",0.991222027307109
"61",0.986324064031072
"62",0.945762449632414
"63",0.991204990543853
"64",0.994955419991127
"65",0.955850338783212
"66",0.973327609452272
"67",0.877775063918104
"68",0.999866468566416
"69",0.965275777494111
"70",0.997713836003966
"71",0.842525628123976
"72",0.96530953978018
"73",0.994981659154103
"74",0.878040964544014
"75",0.98635714129732
"76",0.965361123342765
"77",0.945765406348781
"78",0.973259439422754
"79",0.714284015717243
"80",0.804843096769081
"81",0.995046668773843
"82",0.95626882315752
"83",0.921854059806809
"84",0.99118452105722
"85",0.804937804889693
